Date,Time,Event,Ticker,Period,Actual,Prior,Surv(M),Surv(A),# Ests.,Surprise,Std Dev,C
01/13/000,21:30,Initial Jobless Claims,INJCJC Index,Jan-08,309k,309k,300k,302.30k,23,0.76,11.84,US
01/13/000,21:30,Advance Retail Sales,RTSDCHNG Index,Dec,1.20%,0.90%,1.00%,0.99%,49,0.81,0.25,US
01/13/000,21:30,Retail Sales Less Autos,RTSDXCHG Index,Dec,1.40%,0.40%,0.70%,0.73%,42,3.35,0.21,US
01/14/000,21:30,CPI MoM,CPI CHNG Index,Dec,0.30%,0.20%,0.30%,0.25%,44,0,0.05,US
01/14/000,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Dec,0.10%,0.20%,0.20%,0.18%,44,-1.75,0.06,US
01/14/000,21:30,CPI Index NSA,CPURNSA Index,Dec,168.3,168.3,--,--,0,--,--,US
01/14/000,21:30,Real Earnings,REALRAWE Index,Dec,0.20%,0.30%,0.00%,--,2,--,--,US
01/14/000,21:30,Business Inventories,MTIBCHNG Index,Nov,0.90%,0.20%,0.40%,0.41%,36,3.99,0.13,US
01/14/000,22:15,Industrial Production MoM,IP CHNG Index,Dec,0.40%,0.30%,0.40%,0.38%,43,0,0.12,US
01/14/000,22:15,Capacity Utilization,CPTICHNG Index,Dec,81.30%,81.00%,81.10%,81.05%,43,1.21,0.16,US
01/14/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Jan P,111.4,105.4,106.2,106.51,15,4.7,1.11,US
01/19/000,21:30,Housing Starts,NHSPSTOT Index,Dec,1712k,1600k,1600k,1611.07k,43,3.82,29.34,US
01/19/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-16,0.5,-0.8,--,--,0,--,--,US
01/19/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-16,1.90%,1.90%,--,--,0,--,--,US
01/20/000,21:30,Trade Balance,USTBTOT Index,Nov,-$26.5b,-$25.9b,-$26.0b,-$25.80b,43,-0.73,0.68,US
01/20/000,21:30,Initial Jobless Claims,INJCJC Index,Jan-15,272k,309k,295k,293.61k,23,-4.11,5.6,US
01/20/000,23:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Jan,9.1,8.6,12,11.73,28,-0.9,3.23,US
01/22/000,3:00,Monthly Budget Statement,FDDSSD Index,Dec,$33.1b,-$5.2b,$31.0b,$29.72b,31,0.39,5.32,US
01/25/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-22,1,0.5,--,--,0,--,--,US
01/25/000,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Jan,144.7,141.4,142.5,142.13,35,1.24,1.78,US
01/25/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-22,1.70%,1.90%,--,--,0,--,--,US
01/26/000,1:04,One-Family Home Resales,EHSLSL Index,Dec,5.06m,5.09m,5.00m,4.97m,41,0.41,0.15,US
01/27/000,21:30,Initial Jobless Claims,INJCJC Index,Jan-22,266k,272k,276k,276.52k,25,-1.33,7.5,US
01/27/000,21:30,Durable Goods Orders,DGNOCHNG Index,Dec,4.10%,0.90%,0.70%,1.02%,41,3.72,0.91,US
01/28/000,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q A,5.80%,5.70%,5.20%,5.19%,42,1.29,0.46,US
01/28/000,21:30,GDP Price Deflator,GDP DCHG Index,4Q A,2.00%,1.10%,1.50%,1.51%,39,1.71,0.29,US
01/28/000,21:30,Employment Cost Index,ECI SA% Index,4Q,1.10%,0.80%,0.90%,0.89%,45,1.96,0.1,US
01/28/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Jan F,112,111.4,111.4,111.31,16,0.92,0.65,US
01/31/000,21:30,Personal Income,PITLCHNG Index,Dec,0.30%,0.40%,0.40%,0.41%,40,-0.68,0.15,US
01/31/000,21:30,Personal Spending,PCE CRCH Index,Dec,0.80%,0.50%,0.80%,0.84%,39,0,0.1,US
01/31/000,23:00,MNI Chicago PMI,CHPMINDX Index,Jan,55.6,54.6,55,55.23,23,0.42,1.42,US
02/01/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Jan-28,-0.2,1,--,--,1,--,--,US
02/01/000,23:00,ISM Manufacturing,NAPMPMI Index,Jan,56.3,55.5,56,54.67,38,0.35,0.86,US
02/01/000,23:00,Construction Spending,VNCCCMOM Index,Dec,2.00%,2.60%,0.10%,-0.01%,29,2.99,0.64,US
02/01/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Jan-28,1.60%,1.70%,--,--,0,--,--,US
02/01/000-02/03/000,,Wards Domestic Vehicle Sales,SAARDTOT Index,Jan,15.10m,14.60m,14.40m,13.80m,22,2.94,0.24,US
02/02/000,23:00,New Home Sales,NHSLTOT Index,Dec,900k,865k,890k,872.72k,39,0.49,20.42,US
02/02/000,23:00,Leading Index,LEI CHNG Index,Dec,0.40%,0.30%,0.40%,0.34%,31,0,0.09,US
02/03/000,3:15,FOMC Rate Decision (Upper Bound),FDTR Index,Feb-02,5.75%,5.50%,6.00%,6.00%,50,--,0,US
02/03/000,21:30,Initial Jobless Claims,INJCJC Index,Jan-29,274k,266k,270k,271.24k,25,0.52,7.74,US
02/03/000,23:00,Factory Orders,TMNOCHNG Index,Dec,3.30%,1.20%,2.50%,2.33%,36,1.47,0.54,US
02/03/000,23:00,ISM Non-Manufacturing,NAPMNMAN Index,Jan,52.5,55.5,57,56.61,9,-1.66,2.7,US
02/04/000,0:00,Bloomberg Retail Sales,BBRSCPYY Index,Jan,5.40%,6.50%,--,--,0,--,--,US
02/04/000,21:30,Unemployment Rate,USURTOT Index,Jan,4.00%,4.10%,4.00%,4.01%,41,0,0.05,US
02/04/000,21:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Jan,0.40%,0.40%,0.30%,0.33%,36,1.94,0.05,US
02/04/000,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Jan,387k,315k,260k,265.24k,41,2.82,45.05,US
02/04/000,21:30,Avg Weekly Hours Production,USWHTOT Index,Jan,34.6,34.5,34.5,34.51,16,1.88,0.05,US
02/04/000,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Jan,13k,-1k,2k,1.50k,6,1.22,9.04,US
02/04/000,23:00,Housing Completions,PHUCTOT Index,Dec,1661k,1617k,--,--,1,--,--,US
02/08/000,4:00,Consumer Credit,CICRTOT Index,Dec,$11.200b,$15.600b,$8.000b,$8.34b,29,1,3.21,US
02/08/000,21:30,Unit Labor Costs,COSTNFR% Index,4Q P,--,-0.20%,--,--,0,--,--,US
02/08/000,21:30,Nonfarm Productivity,PRODNFR% Index,4Q P,5.00%,4.90%,4.30%,4.31%,43,1.5,0.47,US
02/08/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-05,0.1,-0.2,--,--,0,--,--,US
02/08/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-05,0.90%,1.60%,--,--,0,--,--,US
02/09/000,23:00,Wholesale Inventories MoM,MWINCHNG Index,Dec,0.40%,1.10%,0.70%,0.78%,9,-1.71,0.17,US
02/10/000,21:30,Initial Jobless Claims,INJCJC Index,Feb-05,301k,274k,275k,275.25k,25,4.14,6.28,US
02/11/000,21:30,Advance Retail Sales,RTSDCHNG Index,Jan,0.30%,1.20%,0.60%,0.68%,0,--,--,US
02/11/000,21:30,Retail Sales Less Autos,RTSDXCHG Index,Jan,-0.30%,1.40%,0.50%,0.56%,43,-3.58,0.22,US
02/14/000,21:30,Business Inventories,MTIBCHNG Index,Dec,0.50%,0.90%,0.40%,0.42%,37,0.76,0.13,US
02/15/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-12,1.2,0.1,--,--,0,--,--,US
02/15/000,22:15,Industrial Production MoM,IP CHNG Index,Jan,1.00%,0.40%,0.60%,0.57%,44,2.88,0.14,US
02/15/000,22:15,Capacity Utilization,CPTICHNG Index,Jan,81.60%,81.30%,81.50%,81.53%,43,0.68,0.15,US
02/15/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-12,0.80%,0.90%,81.40%,--,0,--,--,US
02/16/000,21:30,Import Price Index MoM,IMP1CHNG Index,Jan,0.10%,0.70%,0.50%,0.51%,14,-2.32,0.17,US
02/16/000,21:30,Housing Starts,NHSPSTOT Index,Jan,1775k,1712k,1645k,1643.63k,43,4.09,31.77,US
02/17/000,21:30,PPI MoM,PPI CHNG Index,Jan,0.00%,0.30%,0.20%,0.19%,44,-1.97,0.1,US
02/17/000,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Jan,-0.20%,0.10%,0.10%,0.10%,42,-4.72,0.06,US
02/17/000,21:30,Initial Jobless Claims,INJCJC Index,Feb-12,283k,301k,280k,284.81k,21,0.39,7.66,US
02/17/000,23:00,Humphrey Hawkins Testimony,,,,,,,,,,US
02/17/000,23:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Feb,13.3,9.1,12,11.04,27,0.54,2.42,US
02/18/000,21:30,CPI MoM,CPI CHNG Index,Jan,0.20%,0.20%,0.30%,0.25%,37,-1.82,0.05,US
02/18/000,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Jan,0.20%,0.10%,0.20%,0.19%,43,0,0.05,US
02/18/000,21:30,CPI Index NSA,CPURNSA Index,Jan,168.7,168.3,--,--,0,--,--,US
02/18/000,21:30,Trade Balance,USTBTOT Index,Dec,-$25.5b,-$26.5b,-$26.8b,-$26.50b,43,2.02,0.64,US
02/18/000,21:30,Real Earnings,REALRAWE Index,Jan,0.60%,0.20%,0.00%,--,2,--,--,US
02/18/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Feb P,111.2,112,111.5,111.39,0,--,--,US
02/19/000,3:00,Monthly Budget Statement,FDDSSD Index,Jan,$62.2b,$70.5b,$58.3b,$57.51b,28,0.54,7.31,US
02/23/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-20,0.2,1.2,--,--,0,--,--,US
02/23/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-20,0.80%,0.80%,-27.00%,--,0,--,--,US
02/24/000,21:30,Initial Jobless Claims,INJCJC Index,Feb-19,278k,283k,285k,283.50k,22,-1.59,4.41,US
02/24/000,21:30,Durable Goods Orders,DGNOCHNG Index,Jan,-1.30%,5.50%,-2.00%,-1.74%,37,0.48,1.47,US
02/25/000,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q P,6.90%,5.80%,6.50%,6.38%,38,1.58,0.25,US
02/25/000,21:30,GDP Price Deflator,GDP DCHG Index,4Q P,2.00%,2.00%,2.00%,2.00%,31,0,0.04,US
02/25/000,23:00,One-Family Home Resales,EHSLSL Index,Jan,4.59m,5.06m,5.00m,5.04m,38,-5.52,0.07,US
02/28/000,21:30,Personal Income,PITLCHNG Index,Jan,0.70%,0.30%,0.70%,0.67%,21,0,0.15,US
02/28/000,21:30,Personal Spending,PCE CRCH Index,Jan,0.50%,0.80%,0.40%,0.37%,20,0.93,0.11,US
02/29/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-25,0.2,0.2,--,--,0,--,--,US
02/29/000,23:00,MNI Chicago PMI,CHPMINDX Index,Feb,56.7,55.6,56,56.05,25,0.78,0.9,US
02/29/000,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Feb,141.8,144.7,143,143.02,36,-0.89,1.35,US
02/29/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-26,0.80%,0.80%,--,--,0,--,--,US
03/01/000,23:00,Construction Spending,VNCCCMOM Index,Jan,2.70%,2.00%,0.20%,0.20%,32,3.28,0.76,US
03/01/000,23:00,ISM Manufacturing,NAPMPMI Index,Feb,56.9,56.3,56.5,56.35,42,0.55,0.72,US
03/02/000,6:30,Wards Domestic Vehicle Sales,SAARDTOT Index,Feb,16.20m,15.10m,14.80m,14.80m,26,4.9,0.29,US
03/02/000,21:30,Initial Jobless Claims,INJCJC Index,Feb-26,275k,278k,280k,279.50k,26,-1.11,4.49,US
03/02/000,23:00,New Home Sales,NHSLTOT Index,Jan,882k,900k,890k,888.49k,41,-0.45,17.66,US
03/02/000,23:00,Leading Index,LEI CHNG Index,Jan,0.30%,0.40%,0.20%,0.22%,34,0.75,0.13,US
03/03/000,4:00,Bloomberg Retail Sales,BBRSCPYY Index,Feb,5.60%,5.40%,--,--,0,--,--,US
03/03/000,21:30,Unemployment Rate,USURTOT Index,Feb,4.10%,4.00%,4.00%,4.00%,42,2.06,0.05,US
03/03/000,21:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Feb,0.30%,0.40%,0.30%,0.29%,36,0,0.05,US
03/03/000,21:30,Change in Nonfarm Payrolls,NFP TCH Index,Feb,43k,387k,213k,214.43k,42,-4.3,39.38,US
03/03/000,21:30,Avg Weekly Hours Production,USWHTOT Index,Feb,34.5,34.6,34.6,34.56,16,-2.04,0.05,US
03/03/000,21:30,Change in Manufact. Payrolls,USMMMNCH Index,Feb,5k,13k,7k,4.80k,5,-0.38,5.25,US
03/03/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Feb F,111.3,111.2,111.2,111.12,19,0.09,1.09,US
03/03/000,23:00,Factory Orders,TMNOCHNG Index,Jan,-1.10%,3.30%,-0.50%,-0.56%,37,-1.81,0.33,US
03/03/000,23:00,ISM Non-Manufacturing,NAPMNMAN Index,Feb,58,52.5,53,53.3,9,2.73,1.83,US
03/06/000,23:00,Housing Completions,PHUCTOT Index,Jan,1556k,1644k,--,--,2,--,--,US
03/07/000,21:30,Unit Labor Costs,COSTNFR% Index,4Q F,--,--,--,--,0,--,--,US
03/07/000,21:30,Nonfarm Productivity,PRODNFR% Index,4Q,6.40%,5.00%,6.20%,6.23%,41,0.59,0.34,US
03/07/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Mar-04,0.1,0.2,--,--,0,--,--,US
03/07/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-04,-0.30%,0.80%,--,--,0,--,--,US
03/08/000,4:00,Consumer Credit,CICRTOT Index,Jan,$17.000b,$11.200b,$8.000b,$7.74b,33,3.73,2.41,US
03/09/000,3:00,Fed's Beige Book,,,,,,,,,,US
03/09/000,21:30,Initial Jobless Claims,INJCJC Index,Mar-04,280k,275k,280k,277.75k,28,0,4.39,US
03/09/000,23:00,Wholesale Inventories MoM,MWINCHNG Index,Jan,0.70%,0.40%,0.40%,0.38%,12,1.91,0.16,US
03/14/000,21:30,Import Price Index MoM,IMP1CHNG Index,Feb,1.90%,0.10%,--,--,0,--,--,US
03/14/000,21:30,Advance Retail Sales,RTSDCHNG Index,Feb,1.10%,0.30%,1.10%,1.11%,43,0,0.25,US
03/14/000,21:30,Retail Sales Less Autos,RTSDXCHG Index,Feb,1.00%,-0.30%,0.70%,0.71%,42,1.39,0.22,US
03/14/000,22:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Mar-11,0.4,0.1,--,--,0,--,--,US
03/14/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-11,0.00%,-0.30%,--,--,0,--,--,US
03/15/000,21:30,Business Inventories,MTIBCHNG Index,Jan,0.50%,0.50%,0.40%,0.37%,34,0.96,0.1,US
03/15/000,22:15,Industrial Production MoM,IP CHNG Index,Feb,0.30%,1.00%,0.60%,0.56%,43,-2.1,0.14,US
03/15/000,22:15,Capacity Utilization,CPTICHNG Index,Feb,81.70%,81.60%,81.80%,81.83%,41,-0.77,0.13,US
03/15/000,23:00,Current Account Balance,USCABAL Index,4Q,-$99.8b,-$89.9b,-$95.0b,-$95.18b,21,-3.42,1.41,US
03/16/000,21:30,PPI MoM,PPI CHNG Index,Feb,1.00%,0.00%,0.60%,0.62%,43,2.34,0.17,US
03/16/000,21:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Feb,0.30%,-0.20%,0.30%,0.29%,43,0,0.12,US
03/16/000,21:30,Housing Starts,NHSPSTOT Index,Feb,1781k,1775k,1700k,1708.30k,43,2.84,28.56,US
03/16/000,21:30,Initial Jobless Claims,INJCJC Index,Mar-11,262k,280k,280k,279.12k,25,-6.07,2.96,US
03/16/000,23:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Mar,25,13.3,13.3,13.23,24,6.06,1.94,US
03/17/000,21:30,CPI MoM,CPI CHNG Index,Feb,0.50%,0.20%,0.40%,0.42%,42,1.22,0.08,US
03/17/000,21:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Feb,0.20%,0.20%,0.20%,0.21%,42,0,0.05,US
03/17/000,21:30,CPI Index NSA,CPURNSA Index,Feb,169.7,168.7,--,--,0,--,--,US
03/17/000,21:30,Real Earnings,REALRAWE Index,Feb,-0.50%,0.60%,-0.10%,-0.07%,3,--,--,US
03/17/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Mar P,107.7,111.3,110,110.42,13,-1.86,1.24,US
03/21/000,3:00,Monthly Budget Statement,FDDSSD Index,Feb,-$41.7b,$62.2b,-$42.0b,-$41.77b,26,0.09,3.47,US
03/21/000,21:30,Trade Balance,USTBTOT Index,Jan,-$28.0b,-$25.5b,-$26.5b,-$26.47b,42,-2.2,0.68,US
03/21/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-18,-0.10%,0.00%,--,--,0,--,--,US
03/22/000,3:15,FOMC Rate Decision (Upper Bound),FDTR Index,Mar-21,6.00%,5.75%,6.00%,6.00%,22,--,0,US
03/23/000,21:30,Initial Jobless Claims,INJCJC Index,Mar-18,266k,262k,270k,271.42k,24,-1.03,3.89,US
03/24/000,21:30,Durable Goods Orders,DGNOCHNG Index,Feb,-2.30%,-1.90%,-0.19%,-0.19%,40,1180689.62,0.85,US
03/27/000,23:00,One-Family Home Resales,EHSLSL Index,Feb,4.75m,4.59m,4.75m,4.73m,36,0,0.14,US
03/28/000,23:00,Conf. Board Consumer Confidence,CONCCONF Index,Mar,136.7,141.8,140,139.87,35,-2.3,1.43,US
03/28/000,23:30,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-25,-0.20%,-0.10%,--,--,0,--,--,US
03/29/000,23:00,New Home Sales,NHSLTOT Index,Feb,919k,882k,875k,874.10k,42,3.05,14.43,US
03/30/000,21:30,GDP Annualized QoQ,GDP CQOQ Index,4Q F,7.30%,6.90%,7.00%,7.06%,44,1.55,0.19,US
03/30/000,21:30,GDP Price Deflator,GDP DCHG Index,4Q F,1.90%,2.00%,2.00%,2.00%,32,--,0,US
03/30/000,21:30,Initial Jobless Claims,INJCJC Index,Mar-25,266k,263k,270k,269.19k,21,-0.84,4.79,US
03/31/000,21:30,Personal Income,PITLCHNG Index,Feb,0.40%,0.70%,0.30%,0.30%,45,1.1,0.09,US
03/31/000,21:30,Personal Spending,PCE CRCH Index,Feb,1.00%,0.50%,0.80%,0.84%,44,1.84,0.11,US
03/31/000,23:00,MNI Chicago PMI,CHPMINDX Index,Mar,57.4,56.7,57,57.13,24,0.36,1.1,US
03/31/000,23:00,U. of Mich. Sentiment,CONSSENT Index,Mar F,107.1,107.7,108,108.15,18,-0.95,0.89,US
03/31/000,23:00,Factory Orders,TMNOCHNG Index,Feb,-0.80%,-1.10%,-1.00%,-1.01%,37,0.49,0.41,US
04/03/000,22:00,Construction Spending,VNCCCMOM Index,Feb,1.50%,2.70%,-0.08%,-0.08%,29,944559.52,1.06,US
04/03/000,22:00,ISM Manufacturing,NAPMPMI Index,Mar,55.8,56.9,57,56.73,38,-1.2,0.96,US
04/04/000,22:00,Housing Completions,PHUCTOT Index,Feb,1712k,1556k,--,--,2,--,--,US
04/04/000,22:00,Wards Domestic Vehicle Sales,SAARDTOT Index,Mar,15.10m,16.20m,15.05m,15.27m,24,0.07,0.73,US
04/04/000,22:00,Leading Index,LEI CHNG Index,Feb,-0.30%,0.30%,-0.20%,-0.15%,33,-0.59,0.17,US
04/04/000,22:30,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-01,0.40%,-0.20%,--,--,0,--,--,US
04/05/000,22:00,ISM Non-Manufacturing,NAPMNMAN Index,Mar,64,58,57.5,57.33,13,3.42,1.9,US
04/06/000,20:30,Initial Jobless Claims,INJCJC Index,Apr-01,260k,266k,270k,270.87k,23,-1.93,5.18,US
04/06/000,22:00,Wholesale Inventories MoM,MWINCHNG Index,Feb,0.70%,0.70%,0.60%,0.57%,10,0.84,0.18,US
04/07/000,3:00,Bloomberg Retail Sales,BBRSCPYY Index,Mar,1.50%,5.60%,--,--,0,--,--,US
04/07/000,20:30,Unemployment Rate,USURTOT Index,Mar,4.10%,4.10%,4.00%,4.00%,41,2.47,0.04,US
04/07/000,20:30,Avg Hourly Earning MOM Prod,USHETOT% Index,Mar,0.40%,0.30%,0.30%,0.33%,33,1.93,0.05,US
04/07/000,20:30,Change in Nonfarm Payrolls,NFP TCH Index,Mar,416k,43k,380k,386.85k,41,0.45,80.73,US
04/07/000,20:30,Avg Weekly Hours Production,USWHTOT Index,Mar,34.5,34.5,34.5,34.54,16,0,0.06,US
04/07/000,20:30,Change in Manufact. Payrolls,USMMMNCH Index,Mar,-5k,5k,10k,9.50k,6,-2.43,6.18,US
04/08/000,3:00,Consumer Credit,CICRTOT Index,Feb,$12.000b,$17.000b,$10.250b,$11.48b,28,0.51,3.41,US
04/11/000,22:30,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-08,1.70%,-0.30%,--,--,1,--,--,US
04/12/000,20:30,Import Price Index MoM,IMP1CHNG Index,Mar,0.30%,1.90%,0.80%,0.79%,16,-1.64,0.3,US
04/13/000,20:30,PPI MoM,PPI CHNG Index,Mar,1.00%,1.00%,0.60%,0.60%,42,2.55,0.16,US
04/13/000,20:30,PPI Ex Food and Energy MoM,PXFECHNG Index,Mar,0.10%,0.30%,0.10%,0.14%,42,0,0.05,US
04/13/000,20:30,Advance Retail Sales,RTSDCHNG Index,Mar,0.40%,1.10%,0.20%,0.20%,42,1.07,0.19,US
04/13/000,20:30,Retail Sales Less Autos,RTSDXCHG Index,Mar,1.40%,1.00%,0.50%,0.54%,41,4.64,0.19,US
04/13/000,20:30,Initial Jobless Claims,INJCJC Index,Apr-08,264k,260k,265k,265.90k,20,-0.15,6.45,US
04/14/000,20:30,CPI MoM,CPI CHNG Index,Mar,0.70%,0.50%,0.50%,0.46%,42,2.44,0.08,US
04/14/000,20:30,CPI Ex Food and Energy MoM,CPUPXCHG Index,Mar,0.40%,0.20%,0.20%,0.21%,42,5.01,0.04,US
04/14/000,20:30,CPI Index NSA,CPURNSA Index,Mar,171.1,169.7,--,--,0,--,--,US
04/14/000,20:30,Real Earnings,REALRAWE Index,Mar,-0.40%,-0.50%,-0.10%,0.03%,4,-2.06,0.17,US
04/14/000,20:30,Business Inventories,MTIBCHNG Index,Feb,0.50%,0.50%,0.50%,0.54%,33,0,0.12,US
04/14/000,21:15,Industrial Production MoM,IP CHNG Index,Mar,0.30%,0.30%,0.30%,0.25%,40,0.35,0.14,US
04/14/000,21:15,Capacity Utilization,CPTICHNG Index,Mar,81.40%,81.70%,81.70%,81.67%,38,-2.32,0.13,US
04/14/000,22:00,U. of Mich. Sentiment,CONSSENT Index,Apr P,110.2,107.1,106,105.97,19,3.07,1.37,US
04/18/000,20:30,Housing Starts,NHSPSTOT Index,Mar,1604k,1781k,1743k,1737.88k,40,-2.97,46.66,US
04/18/000,22:30,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-15,1.40%,1.70%,--,--,0,--,--,US
04/19/000,20:30,Trade Balance,USTBTOT Index,Feb,-$29.2b,-$28.0b,-$28.5b,-$28.59b,39,-1.03,0.72,US
04/20/000,20:30,Initial Jobless Claims,INJCJC Index,Apr-15,257k,264k,265k,264.84k,19,-2.85,2.81,US
04/20/000,22:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Apr,12.8,25,20,19.17,24,-2.34,3.08,US
04/21/000,2:00,Monthly Budget Statement,FDDSSD Index,Mar,-$35.4b,-$22.4b,-$28.2b,-$26.84b,28,-1.51,4.78,US
04/25/000,22:00,Conf. Board Consumer Confidence,CONCCONF Index,Apr,136.9,136.7,135,135.28,35,0.72,2.65,US
04/25/000,22:00,One-Family Home Resales,EHSLSL Index,Mar,4.83m,4.75m,4.75m,4.74m,39,0.69,0.12,US
04/25/000,22:30,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-22,1.40%,1.40%,--,--,0,--,--,US
04/26/000,20:30,Durable Goods Orders,DGNOCHNG Index,Mar,2.60%,-2.70%,2.00%,1.87%,43,0.85,0.7,US
04/27/000,20:30,GDP Annualized QoQ,GDP CQOQ Index,1Q A,5.40%,7.30%,6.00%,5.96%,44,-1.42,0.42,US
