Date,Time,Event,Ticker,Period,Actual,Prior,SurvM,SurvA,NoEstimates,Surprise,StdDev,C
2000-02-03,21:30:00,Initial Jobless Claims,INJCJC Index,Jan-29,274000,266000,270000,271240,25,0.52,7.74,US
2000-02-03,23:00:00,Factory Orders,TMNOCHNG Index,Dec,3.30%,1.20%,2.50%,2.33%,36,1.47,0.54,US
2000-02-03,23:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Jan,52.50,55.50,57.00,56.61,9,-1.66,2.70,US
2000-02-04,00:00:00,Bloomberg Retail Sales,BBRSCPYY Index,Jan,5.40%,6.50%,,,0,,,US
2000-02-04,21:30:00,Unemployment Rate,USURTOT Index,Jan,4.00%,4.10%,4.00%,4.01%,41,0.00,0.05,US
2000-02-04,21:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Jan,0.40%,0.40%,0.30%,0.33%,36,1.94,0.05,US
2000-02-04,21:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Jan,387000,315000,260000,265240,41,2.82,45.05,US
2000-02-04,21:30:00,Avg Weekly Hours Production,USWHTOT Index,Jan,34.60,34.50,34.50,34.51,16,1.88,0.05,US
2000-02-04,21:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Jan,13000,-1000,2000,1500,6,1.22,9.04,US
2000-02-04,23:00:00,Housing Completions,PHUCTOT Index,Dec,1661000,1617000,,,1,,,US
2000-02-08,04:00:00,Consumer Credit,CICRTOT Index,Dec,11200000000,15600000000,8000000000,8340000000,29,1.00,3.21,US
2000-02-08,21:30:00,Unit Labor Costs,COSTNFR% Index,4Q P,,-0.20%,,,0,,,US
2000-02-08,21:30:00,Nonfarm Productivity,PRODNFR% Index,4Q P,5.00%,4.90%,4.30%,4.31%,43,1.50,0.47,US
2000-02-08,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-05,0.10,-0.20,,,0,,,US
2000-02-08,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-05,0.90%,1.60%,,,0,,,US
2000-02-09,23:00:00,Wholesale Inventories MoM,MWINCHNG Index,Dec,0.40%,1.10%,0.70%,0.78%,9,-1.71,0.17,US
2000-02-10,21:30:00,Initial Jobless Claims,INJCJC Index,Feb-05,301000,274000,275000,275250,25,4.14,6.28,US
2000-02-11,21:30:00,Advance Retail Sales,RTSDCHNG Index,Jan,0.30%,1.20%,0.60%,0.68%,0,,,US
2000-02-11,21:30:00,Retail Sales Less Autos,RTSDXCHG Index,Jan,-0.30%,1.40%,0.50%,0.56%,43,-3.58,0.22,US
2000-02-14,21:30:00,Business Inventories,MTIBCHNG Index,Dec,0.50%,0.90%,0.40%,0.42%,37,0.76,0.13,US
2000-02-15,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-12,1.20,0.10,,,0,,,US
2000-02-15,22:15:00,Industrial Production MoM,IP CHNG Index,Jan,1.00%,0.40%,0.60%,0.57%,44,2.88,0.14,US
2000-02-15,22:15:00,Capacity Utilization,CPTICHNG Index,Jan,81.60%,81.30%,81.50%,81.53%,43,0.68,0.15,US
2000-02-15,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-12,0.80%,0.90%,81.40%,,0,,,US
2000-02-16,21:30:00,Import Price Index MoM,IMP1CHNG Index,Jan,0.10%,0.70%,0.50%,0.51%,14,-2.32,0.17,US
2000-02-16,21:30:00,Housing Starts,NHSPSTOT Index,Jan,1775000,1712000,1645000,1643630,43,4.09,31.77,US
2000-02-17,21:30:00,PPI MoM,PPI CHNG Index,Jan,0.00%,0.30%,0.20%,0.19%,44,-1.97,0.10,US
2000-02-17,21:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Jan,-0.20%,0.10%,0.10%,0.10%,42,-4.72,0.06,US
2000-02-17,21:30:00,Initial Jobless Claims,INJCJC Index,Feb-12,283000,301000,280000,284810,21,0.39,7.66,US
2000-02-17,23:00:00,Humphrey Hawkins Testimony,,,,,,,,,,US
2000-02-17,23:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Feb,13.30,9.10,12.00,11.04,27,0.54,2.42,US
2000-02-18,21:30:00,CPI MoM,CPI CHNG Index,Jan,0.20%,0.20%,0.30%,0.25%,37,-1.82,0.05,US
2000-02-18,21:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Jan,0.20%,0.10%,0.20%,0.19%,43,0.00,0.05,US
2000-02-18,21:30:00,CPI Index NSA,CPURNSA Index,Jan,168.70,168.30,,,0,,,US
2000-02-18,21:30:00,Trade Balance,USTBTOT Index,Dec,-25500000000,-26500000000,-26800000000,-26500000000,43,2.02,0.64,US
2000-02-18,21:30:00,Real Earnings,REALRAWE Index,Jan,0.60%,0.20%,0.00%,,2,,,US
2000-02-18,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Feb P,111.20,112.00,111.50,111.39,0,,,US
2000-02-19,03:00:00,Monthly Budget Statement,FDDSSD Index,Jan,62200000000,70500000000,58300000000,57510000000,28,0.54,7.31,US
2000-02-23,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-20,0.20,1.20,,,0,,,US
2000-02-23,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-20,0.80%,0.80%,-27.00%,,0,,,US
2000-02-24,21:30:00,Initial Jobless Claims,INJCJC Index,Feb-19,278000,283000,285000,283500,22,-1.59,4.41,US
2000-02-24,21:30:00,Durable Goods Orders,DGNOCHNG Index,Jan,-1.30%,5.50%,-2.00%,-1.74%,37,0.48,1.47,US
2000-02-25,21:30:00,GDP Annualized QoQ,GDP CQOQ Index,4Q P,6.90%,5.80%,6.50%,6.38%,38,1.58,0.25,US
2000-02-25,21:30:00,GDP Price Deflator,GDP DCHG Index,4Q P,2.00%,2.00%,2.00%,2.00%,31,0.00,0.04,US
2000-02-25,23:00:00,One-Family Home Resales,EHSLSL Index,Jan,4590000,5060000,5000000,5040000,38,-5.52,0.07,US
2000-02-28,21:30:00,Personal Income,PITLCHNG Index,Jan,0.70%,0.30%,0.70%,0.67%,21,0.00,0.15,US
2000-02-28,21:30:00,Personal Spending,PCE CRCH Index,Jan,0.50%,0.80%,0.40%,0.37%,20,0.93,0.11,US
2000-02-29,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Feb-25,0.20,0.20,,,0,,,US
2000-02-29,23:00:00,MNI Chicago PMI,CHPMINDX Index,Feb,56.70,55.60,56.00,56.05,25,0.78,0.90,US
2000-02-29,23:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Feb,141.80,144.70,143.00,143.02,36,-0.89,1.35,US
2000-02-29,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Feb-26,0.80%,0.80%,,,0,,,US
2000-03-01,23:00:00,Construction Spending,VNCCCMOM Index,Jan,2.70%,2.00%,0.20%,0.20%,32,3.28,0.76,US
2000-03-01,23:00:00,ISM Manufacturing,NAPMPMI Index,Feb,56.90,56.30,56.50,56.35,42,0.55,0.72,US
2000-03-02,06:30:00,Wards Domestic Vehicle Sales,SAARDTOT Index,Feb,16200000,15100000,14800000,14800000,26,4.90,0.29,US
2000-03-02,21:30:00,Initial Jobless Claims,INJCJC Index,Feb-26,275000,278000,280000,279500,26,-1.11,4.49,US
2000-03-02,23:00:00,New Home Sales,NHSLTOT Index,Jan,882000,900000,890000,888490,41,-0.45,17.66,US
2000-03-02,23:00:00,Leading Index,LEI CHNG Index,Jan,0.30%,0.40%,0.20%,0.22%,34,0.75,0.13,US
2000-03-03,04:00:00,Bloomberg Retail Sales,BBRSCPYY Index,Feb,5.60%,5.40%,,,0,,,US
2000-03-03,21:30:00,Unemployment Rate,USURTOT Index,Feb,4.10%,4.00%,4.00%,4.00%,42,2.06,0.05,US
2000-03-03,21:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Feb,0.30%,0.40%,0.30%,0.29%,36,0.00,0.05,US
2000-03-03,21:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Feb,43000,387000,213000,214430,42,-4.30,39.38,US
2000-03-03,21:30:00,Avg Weekly Hours Production,USWHTOT Index,Feb,34.50,34.60,34.60,34.56,16,-2.04,0.05,US
2000-03-03,21:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Feb,5000,13000,7000,4800,5,-0.38,5.25,US
2000-03-03,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Feb F,111.30,111.20,111.20,111.12,19,0.09,1.09,US
2000-03-03,23:00:00,Factory Orders,TMNOCHNG Index,Jan,-1.10%,3.30%,-0.50%,-0.56%,37,-1.81,0.33,US
2000-03-03,23:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Feb,58.00,52.50,53.00,53.30,9,2.73,1.83,US
2000-03-06,23:00:00,Housing Completions,PHUCTOT Index,Jan,1556000,1644000,,,2,,,US
2000-03-07,21:30:00,Unit Labor Costs,COSTNFR% Index,4Q F,,,,,0,,,US
2000-03-07,21:30:00,Nonfarm Productivity,PRODNFR% Index,4Q,6.40%,5.00%,6.20%,6.23%,41,0.59,0.34,US
2000-03-07,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Mar-04,0.10,0.20,,,0,,,US
2000-03-07,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-04,-0.30%,0.80%,,,0,,,US
2000-03-08,04:00:00,Consumer Credit,CICRTOT Index,Jan,17000000000,11200000000,8000000000,7740000000,33,3.73,2.41,US
2000-03-09,03:00:00,Fed's Beige Book,,,,,,,,,,US
2000-03-09,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-04,280000,275000,280000,277750,28,0.00,4.39,US
2000-03-09,23:00:00,Wholesale Inventories MoM,MWINCHNG Index,Jan,0.70%,0.40%,0.40%,0.38%,12,1.91,0.16,US
2000-03-14,21:30:00,Import Price Index MoM,IMP1CHNG Index,Feb,1.90%,0.10%,,,0,,,US
2000-03-14,21:30:00,Advance Retail Sales,RTSDCHNG Index,Feb,1.10%,0.30%,1.10%,1.11%,43,0.00,0.25,US
2000-03-14,21:30:00,Retail Sales Less Autos,RTSDXCHG Index,Feb,1.00%,-0.30%,0.70%,0.71%,42,1.39,0.22,US
2000-03-14,22:00:00,Tokyo-Mitsubishi Retail Sales,MBRSWTW Index,Mar-11,0.40,0.10,,,0,,,US
2000-03-14,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-11,0.00%,-0.30%,,,0,,,US
2000-03-15,21:30:00,Business Inventories,MTIBCHNG Index,Jan,0.50%,0.50%,0.40%,0.37%,34,0.96,0.10,US
2000-03-15,22:15:00,Industrial Production MoM,IP CHNG Index,Feb,0.30%,1.00%,0.60%,0.56%,43,-2.10,0.14,US
2000-03-15,22:15:00,Capacity Utilization,CPTICHNG Index,Feb,81.70%,81.60%,81.80%,81.83%,41,-0.77,0.13,US
2000-03-15,23:00:00,Current Account Balance,USCABAL Index,4Q,-99800000000,-89900000000,-95000000000,-95180000000,21,-3.42,1.41,US
2000-03-16,21:30:00,PPI MoM,PPI CHNG Index,Feb,1.00%,0.00%,0.60%,0.62%,43,2.34,0.17,US
2000-03-16,21:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Feb,0.30%,-0.20%,0.30%,0.29%,43,0.00,0.12,US
2000-03-16,21:30:00,Housing Starts,NHSPSTOT Index,Feb,1781000,1775000,1700000,1708300,43,2.84,28.56,US
2000-03-16,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-11,262000,280000,280000,279120,25,-6.07,2.96,US
2000-03-16,23:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Mar,25.00,13.30,13.30,13.23,24,6.06,1.94,US
2000-03-17,21:30:00,CPI MoM,CPI CHNG Index,Feb,0.50%,0.20%,0.40%,0.42%,42,1.22,0.08,US
2000-03-17,21:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Feb,0.20%,0.20%,0.20%,0.21%,42,0.00,0.05,US
2000-03-17,21:30:00,CPI Index NSA,CPURNSA Index,Feb,169.70,168.70,,,0,,,US
2000-03-17,21:30:00,Real Earnings,REALRAWE Index,Feb,-0.50%,0.60%,-0.10%,-0.07%,3,,,US
2000-03-17,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Mar P,107.70,111.30,110.00,110.42,13,-1.86,1.24,US
2000-03-21,03:00:00,Monthly Budget Statement,FDDSSD Index,Feb,-41700000000,62200000000,-42000000000,-41770000000,26,0.09,3.47,US
2000-03-21,21:30:00,Trade Balance,USTBTOT Index,Jan,-28000000000,-25500000000,-26500000000,-26470000000,42,-2.20,0.68,US
2000-03-21,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-18,-0.10%,0.00%,,,0,,,US
2000-03-22,03:15:00,FOMC Rate Decision (Upper Bound),FDTR Index,Mar-21,6.00%,5.75%,6.00%,6.00%,22,,0.00,US
2000-03-23,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-18,266000,262000,270000,271420,24,-1.03,3.89,US
2000-03-24,21:30:00,Durable Goods Orders,DGNOCHNG Index,Feb,-2.30%,-1.90%,-0.19%,-0.19%,40,1180689.62,0.85,US
2000-03-27,23:00:00,One-Family Home Resales,EHSLSL Index,Feb,4750000,4590000,4750000,4730000,36,0.00,0.14,US
2000-03-28,23:00:00,Conf. Board Consumer Confidence,CONCCONF Index,Mar,136.70,141.80,140.00,139.87,35,-2.30,1.43,US
2000-03-28,23:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Mar-25,-0.20%,-0.10%,,,0,,,US
2000-03-29,23:00:00,New Home Sales,NHSLTOT Index,Feb,919000,882000,875000,874100,42,3.05,14.43,US
2000-03-30,21:30:00,GDP Annualized QoQ,GDP CQOQ Index,4Q F,7.30%,6.90%,7.00%,7.06%,44,1.55,0.19,US
2000-03-30,21:30:00,GDP Price Deflator,GDP DCHG Index,4Q F,1.90%,2.00%,2.00%,2.00%,32,,0.00,US
2000-03-30,21:30:00,Initial Jobless Claims,INJCJC Index,Mar-25,266000,263000,270000,269190,21,-0.84,4.79,US
2000-03-31,21:30:00,Personal Income,PITLCHNG Index,Feb,0.40%,0.70%,0.30%,0.30%,45,1.10,0.09,US
2000-03-31,21:30:00,Personal Spending,PCE CRCH Index,Feb,1.00%,0.50%,0.80%,0.84%,44,1.84,0.11,US
2000-03-31,23:00:00,MNI Chicago PMI,CHPMINDX Index,Mar,57.40,56.70,57.00,57.13,24,0.36,1.10,US
2000-03-31,23:00:00,U. of Mich. Sentiment,CONSSENT Index,Mar F,107.10,107.70,108.00,108.15,18,-0.95,0.89,US
2000-03-31,23:00:00,Factory Orders,TMNOCHNG Index,Feb,-0.80%,-1.10%,-1.00%,-1.01%,37,0.49,0.41,US
2000-04-03,22:00:00,Construction Spending,VNCCCMOM Index,Feb,1.50%,2.70%,-0.08%,-0.08%,29,944559.52,1.06,US
2000-04-03,22:00:00,ISM Manufacturing,NAPMPMI Index,Mar,55.80,56.90,57.00,56.73,38,-1.20,0.96,US
2000-04-04,22:00:00,Housing Completions,PHUCTOT Index,Feb,1712000,1556000,,,2,,,US
2000-04-04,22:00:00,Wards Domestic Vehicle Sales,SAARDTOT Index,Mar,15100000,16200000,15050000,15270000,24,0.07,0.73,US
2000-04-04,22:00:00,Leading Index,LEI CHNG Index,Feb,-0.30%,0.30%,-0.20%,-0.15%,33,-0.59,0.17,US
2000-04-04,22:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-01,0.40%,-0.20%,,,0,,,US
2000-04-05,22:00:00,ISM Non-Manufacturing,NAPMNMAN Index,Mar,64.00,58.00,57.50,57.33,13,3.42,1.90,US
2000-04-06,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-01,260000,266000,270000,270870,23,-1.93,5.18,US
2000-04-06,22:00:00,Wholesale Inventories MoM,MWINCHNG Index,Feb,0.70%,0.70%,0.60%,0.57%,10,0.84,0.18,US
2000-04-07,03:00:00,Bloomberg Retail Sales,BBRSCPYY Index,Mar,1.50%,5.60%,,,0,,,US
2000-04-07,20:30:00,Unemployment Rate,USURTOT Index,Mar,4.10%,4.10%,4.00%,4.00%,41,2.47,0.04,US
2000-04-07,20:30:00,Avg Hourly Earning MOM Prod,USHETOT% Index,Mar,0.40%,0.30%,0.30%,0.33%,33,1.93,0.05,US
2000-04-07,20:30:00,Change in Nonfarm Payrolls,NFP TCH Index,Mar,416000,43000,380000,386850,41,0.45,80.73,US
2000-04-07,20:30:00,Avg Weekly Hours Production,USWHTOT Index,Mar,34.50,34.50,34.50,34.54,16,0.00,0.06,US
2000-04-07,20:30:00,Change in Manufact. Payrolls,USMMMNCH Index,Mar,-5000,5000,10000,9500,6,-2.43,6.18,US
2000-04-08,03:00:00,Consumer Credit,CICRTOT Index,Feb,12000000000,17000000000,10250000000,11480000000,28,0.51,3.41,US
2000-04-11,22:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-08,1.70%,-0.30%,,,1,,,US
2000-04-12,20:30:00,Import Price Index MoM,IMP1CHNG Index,Mar,0.30%,1.90%,0.80%,0.79%,16,-1.64,0.30,US
2000-04-13,20:30:00,PPI MoM,PPI CHNG Index,Mar,1.00%,1.00%,0.60%,0.60%,42,2.55,0.16,US
2000-04-13,20:30:00,PPI Ex Food and Energy MoM,PXFECHNG Index,Mar,0.10%,0.30%,0.10%,0.14%,42,0.00,0.05,US
2000-04-13,20:30:00,Advance Retail Sales,RTSDCHNG Index,Mar,0.40%,1.10%,0.20%,0.20%,42,1.07,0.19,US
2000-04-13,20:30:00,Retail Sales Less Autos,RTSDXCHG Index,Mar,1.40%,1.00%,0.50%,0.54%,41,4.64,0.19,US
2000-04-13,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-08,264000,260000,265000,265900,20,-0.15,6.45,US
2000-04-14,20:30:00,CPI MoM,CPI CHNG Index,Mar,0.70%,0.50%,0.50%,0.46%,42,2.44,0.08,US
2000-04-14,20:30:00,CPI Ex Food and Energy MoM,CPUPXCHG Index,Mar,0.40%,0.20%,0.20%,0.21%,42,5.01,0.04,US
2000-04-14,20:30:00,CPI Index NSA,CPURNSA Index,Mar,171.10,169.70,,,0,,,US
2000-04-14,20:30:00,Real Earnings,REALRAWE Index,Mar,-0.40%,-0.50%,-0.10%,0.03%,4,-2.06,0.17,US
2000-04-14,20:30:00,Business Inventories,MTIBCHNG Index,Feb,0.50%,0.50%,0.50%,0.54%,33,0.00,0.12,US
2000-04-14,21:15:00,Industrial Production MoM,IP CHNG Index,Mar,0.30%,0.30%,0.30%,0.25%,40,0.35,0.14,US
2000-04-14,21:15:00,Capacity Utilization,CPTICHNG Index,Mar,81.40%,81.70%,81.70%,81.67%,38,-2.32,0.13,US
2000-04-14,22:00:00,U. of Mich. Sentiment,CONSSENT Index,Apr P,110.20,107.10,106.00,105.97,19,3.07,1.37,US
2000-04-18,20:30:00,Housing Starts,NHSPSTOT Index,Mar,1604000,1781000,1743000,1737880,40,-2.97,46.66,US
2000-04-18,22:30:00,Instinet Redbook Retail Sales,REDSMMOM Index,Apr-15,1.40%,1.70%,,,0,,,US
2000-04-19,20:30:00,Trade Balance,USTBTOT Index,Feb,-29200000000,-28000000000,-28500000000,-28590000000,39,-1.03,0.72,US
2000-04-20,20:30:00,Initial Jobless Claims,INJCJC Index,Apr-15,257000,264000,265000,264840,19,-2.85,2.81,US
2000-04-20,22:00:00,Philadelphia Fed Business Outlook,OUTFGAF Index,Apr,12.80,25.00,20.00,19.17,24,-2.34,3.08,US
